"subject","activity","FrequencyBodyAcc-mean()-X","FrequencyBodyAcc-mean()-Y","FrequencyBodyAcc-mean()-Z","FrequencyBodyAcc-std()-X","FrequencyBodyAcc-std()-Y","FrequencyBodyAcc-std()-Z","FrequencyBodyAccJerk-mean()-X","FrequencyBodyAccJerk-mean()-Y","FrequencyBodyAccJerk-mean()-Z","FrequencyBodyAccJerk-std()-X","FrequencyBodyAccJerk-std()-Y","FrequencyBodyAccJerk-std()-Z","FrequencyBodyAccMag-mean()","FrequencyBodyAccMag-std()","FrequencyBodyBodyAccJerkMag-mean()","FrequencyBodyBodyAccJerkMag-std()","FrequencyBodyBodyGyroJerkMag-mean()","FrequencyBodyBodyGyroJerkMag-std()","FrequencyBodyBodyGyroMag-mean()","FrequencyBodyBodyGyroMag-std()","FrequencyBodyGyro-mean()-X","FrequencyBodyGyro-mean()-Y","FrequencyBodyGyro-mean()-Z","FrequencyBodyGyro-std()-X","FrequencyBodyGyro-std()-Y","FrequencyBodyGyro-std()-Z","TimeBodyAcc-mean()-X","TimeBodyAcc-mean()-Y","TimeBodyAcc-mean()-Z","TimeBodyAcc-std()-X","TimeBodyAcc-std()-Y","TimeBodyAcc-std()-Z","TimeBodyAccJerk-mean()-X","TimeBodyAccJerk-mean()-Y","TimeBodyAccJerk-mean()-Z","TimeBodyAccJerk-std()-X","TimeBodyAccJerk-std()-Y","TimeBodyAccJerk-std()-Z","TimeBodyAccJerkMag-mean()","TimeBodyAccJerkMag-std()","TimeBodyAccMag-mean()","TimeBodyAccMag-std()","TimeBodyGyro-mean()-X","TimeBodyGyro-mean()-Y","TimeBodyGyro-mean()-Z","TimeBodyGyro-std()-X","TimeBodyGyro-std()-Y","TimeBodyGyro-std()-Z","TimeBodyGyroJerk-mean()-X","TimeBodyGyroJerk-mean()-Y","TimeBodyGyroJerk-mean()-Z","TimeBodyGyroJerk-std()-X","TimeBodyGyroJerk-std()-Y","TimeBodyGyroJerk-std()-Z","TimeBodyGyroJerkMag-mean()","TimeBodyGyroJerkMag-std()","TimeBodyGyroMag-mean()","TimeBodyGyroMag-std()","TimeGravityAcc-mean()-X","TimeGravityAcc-mean()-Y","TimeGravityAcc-mean()-Z","TimeGravityAcc-std()-X","TimeGravityAcc-std()-Y","TimeGravityAcc-std()-Z","TimeGravityAccMag-mean()","TimeGravityAccMag-std()"
5,"Laying",-0.97571669,-0.99298799,-0.99461269,-0.99334893,-0.99335866,-0.99430875,-0.9924676,-0.99235049,-0.98741367,-0.98853527,-0.96432157,-0.98837971,-0.9864781,-0.98724341,-0.98404495,-0.98490071,NA,NA,NA,NA,-0.98767,-0.99222541,-0.98473175,-0.98281123,-0.98688618,-0.98557254,NA,NA,NA,NA,NA,NA,NA,-0.92474444,-0.95495112,-0.96199347,-0.96955323,-0.96423106,-0.99087989,-0.99371754,-0.9939448,-0.98980576,-0.98568268,-0.98621139,-0.98868076,-0.9910482,-0.99506356,-0.9897394,-0.98788961,-0.99302587,-0.96233696,-0.94880468,-0.98673619,-0.9897673,-0.98030913,-0.98805262,-0.98827566,-0.98931653,NA,NA,NA,NA,NA,NA,-0.99002574,-0.98936131
6,"Walking",-0.5289114,-0.47583746,-0.47115473,-0.5192785,-0.57890998,-0.51730536,-0.48895087,-0.54561334,-0.59539448,-0.59101982,-0.28605001,-0.16233692,-0.35274355,-0.39583252,-0.41004258,-0.47466381,-0.2113797,-0.333615,-0.15793642,-0.087357701,-0.18393187,-0.13989367,0.0082409615,-0.16240918,-0.31902448,-0.34595379,-0.30436004,-0.38019207,-0.19363729,-0.14772328,-0.22437397,-0.16935202,NA,NA,NA,NA,NA,NA,-0.42400517,-0.58477578,-0.62371,-0.68632306,NA,NA,NA,-0.65611125,-0.53583325,-0.53332085,-0.57356209,-0.55808153,-0.60516621,-0.6336732,-0.63976414,-0.66943294,-0.595637,-0.52746272,-0.60358197,-0.63993829,-0.20974797,-0.34558648,-0.20747938,-0.12138924,-0.18417913,-0.24531118,-0.62149923,-0.48798076
6,"Walking Upstairs",-0.34205964,-0.2251042,-0.29787113,-0.42061524,-0.39941737,-0.39174948,-0.43381109,-0.30239609,-0.27335613,-0.42294545,-0.20998442,-0.23485774,0.013764438,-0.38040172,-0.37201719,NA,NA,NA,NA,NA,-0.52903007,-0.41862429,-0.33234838,-0.24653617,-0.24594201,0.017495432,NA,NA,NA,NA,NA,NA,-0.61097798,-0.53092013,-0.51569276,-0.54786918,-0.42237119,-0.66209105,NA,NA,-0.56837184,-0.4765536,-0.66655637,-0.60766831,-0.66216982,-0.66609997,-0.68211043,-0.72081846,-0.59119974,-0.49216821,-0.6738049,-0.72145641,-0.53153192,-0.51255808,-0.34050768,-0.3961702,-0.30337044,-0.27328288,NA,NA,-0.64446158,-0.70965436,-0.65746811,-0.64267399,-0.4624652,-0.51197094
6,"Walking Downstairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56579022,-0.50196855,-0.48584553,-0.23352447,-0.29646551,-0.48115868,-0.44421684,-0.29411286,-0.35502872,-0.41659813,-0.48323871,-0.43074418,-0.14782746,-0.12740132,-0.45705443,-0.48690836,-0.3959392,-0.31512465,-0.34414497,-0.51377849,-0.42411003,-0.38284961,0.092529677,0.13701898,0.11266751,-0.021425651,0.0014654395,0.1649933,-0.23438219,0.18863563,-0.00051674713,-0.014149535,-0.02037315,-0.080877364,0.43645113,0.28557363,0.25022453,0.22332881,0.033078452,-0.042040392,-0.054344511,-0.013028677,0.0082588838,0.054278851,NA,NA,NA,NA,-0.26251458,-0.21216966,NA,NA,NA,NA,0.33261513,0.22332324
6,"Sitting",-0.96782831,-0.97336638,-0.98708728,-0.97961844,-0.94312397,-0.90912594,-0.9777427,-0.97193618,-0.98986358,-0.81920016,-0.72607183,-0.83603739,-0.99187524,NA,NA,-0.76511164,-0.86385497,-0.96971692,-0.94948622,-0.87846351,-0.98176198,-0.98375749,-0.98719336,-0.99108789,-0.98864032,-0.98915795,-0.98051369,-0.98281515,-0.98963057,-0.98815228,-0.97887437,-0.97844222,-0.96488505,-0.96321146,-0.98087068,-0.97187503,-0.96319834,-0.96836872,-0.96693239,-0.98340365,-0.85997801,-0.99556409,-0.98351346,-0.98467437,-0.98786436,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.95991119,-0.96486721,-0.98276514,-0.97857685,-0.83328526,-0.94772499,-0.94762876,-0.95614438,-0.96643751,-0.96594188,-0.96612679,-0.95253064
6,"Standing",-0.82900978,-0.86336115,-0.96770646,-0.97421516,-0.98503314,-0.98295326,-0.98020649,-0.97406221,-0.89872366,-0.87069396,-0.85805058,-0.9576921,-0.98954689,-0.99096193,-0.938125,NA,NA,NA,NA,NA,-0.95845893,-0.97293696,-0.97828605,-0.9836134,-0.9851944,-0.99152824,-0.85514047,-0.97745399,-0.9910619,-0.99309805,-0.99138004,-0.97216205,-0.96630518,-0.95326595,-0.95659931,-0.98272872,-0.99230058,-0.9910179,-0.66457957,-0.9455335,NA,NA,-0.93061147,-0.94705621,-0.94558673,-0.96176251,-0.97226909,-0.99062227,-0.97498459,-0.9753997,-0.98446147,-0.97872992,-0.97089695,-0.96785685,-0.86979913,-0.81038807,-0.9438183,-0.94471775,-0.9730202,-0.98857676,-0.98694517,-0.99396981,-0.99762235,-0.99696221,NA,NA
6,"Laying",-0.97697665,-0.97555433,-0.97708177,-0.97166657,-0.97027553,-0.98497664,-0.98662363,-0.98553279,-0.98810212,-0.95048134,NA,NA,NA,-0.82982302,-0.93047227,-0.95776854,-0.97691571,-0.98396169,-0.93385034,-0.97435396,NA,NA,NA,NA,NA,NA,-0.9896536,-0.97607941,-0.96219547,-0.96612058,-0.98181256,-0.99201693,-0.99042267,-0.99115335,-0.97225179,-0.97429924,-0.98499841,-0.98270394,-0.962158,-0.87840103,-0.98420694,-0.97667274,-0.97291184,-0.94145789,-0.93491593,-0.79247132,-0.78889061,-0.84825334,-0.97300657,-0.96901428,-0.96669263,-0.97308114,-0.97591266,-0.98044127,-0.93071833,-0.95972488,-0.91460216,-0.93503145,-0.8477606,-0.9514771,-0.97756126,-0.97864721,-0.98155498,-0.98756322,-0.97699071,-0.98552037
7,"Walking",0.1553915,0.18250691,0.064109677,-0.18735056,-0.19549556,-0.02481624,0.10097424,0.091644325,0.13829929,0.23319629,0.16185803,-0.0079900547,NA,NA,NA,NA,NA,NA,NA,NA,-0.0013973046,0.26078539,0.18493596,0.091004371,-0.049548939,-0.034406598,NA,NA,NA,NA,NA,NA,-0.2710107,-0.26892391,-0.27654056,-0.30581821,-0.16859612,-0.16701254,-0.086687905,-0.057089785,-0.218845845,-0.13373602,-0.22757633,-0.28054177,-0.35062792,-0.070963882,0.031145505,-0.07520771,-0.16629561,-0.24061181,-0.26878596,-0.25580757,-0.24039644,-0.15776597,-0.02173349,0.081746605,-0.0975174535,-0.015186595,NA,NA,NA,NA,-0.72161369,-0.43451943,0.03623245,0.031834535
7,"Walking Upstairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.70930764,-0.61558258,NA,NA,NA,NA,NA,NA,NA,NA,-0.65008436,-0.71182048,-0.74890393,-0.69349517,-0.71423342,-0.77805312,-0.73081646,-0.72522311,-0.71277624,-0.729307215,-0.69982414,-0.68585851,-0.74829781,-0.75007374,-0.62482611,-0.70785611,-0.720263835,-0.720821775,-0.70348887,-0.668538685,-0.668413695,-0.69609463,-0.66415083,-0.64807268,-0.67957491,-0.73736072,-0.82268827,-0.67944324,-0.76144581,NA,-0.78771039,-0.77259746,-0.71605244,-0.78360902,-0.60957815,-0.65677927,-0.65664896,-0.68183474,-0.66186415,-0.66987909
7,"Walking Downstairs",-0.52993061,-0.65272518,-0.10677804,0.029078256,-0.31341964,-0.23863466,-0.2431717,-0.44606653,-0.42260678,-0.50927849,-0.66023888,-0.5775349,-0.35104685,-0.41959912,-0.33632705,-0.298864223,-0.30129466,-0.50126008,-0.2534347435,-0.11169474995,-0.51652127,-0.52733284,-0.32058387,-0.36815253,-0.33796266,-0.13139213,-0.50570045,-0.44454654,-0.37018184,-0.36588203,-0.37198475,-0.40618943,-0.21668014,-0.18232301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57063008,NA,NA,-0.43562761,-0.39573814,-0.42906478,-0.22954541,-0.18201834,-0.29274748,NA,NA
7,"Sitting",-0.99463503,-0.99709778,-0.99570228,-0.99642035,-0.99729786,-0.998048,-0.9988194,-0.99671746,-0.98719781,-0.90325235,-0.95700029,-0.95192617,-0.9947169,-0.99656134,-0.99443759,-0.91248159,-0.9969589,-0.9966977,-0.98695133,-0.99610991,-0.91990133,-0.90662306,-0.92319704,-0.99518156,-0.99566961,-0.99305632,-0.99642222,-0.99626785,-0.99569666,-0.99477558,-0.995881,NA,NA,NA,NA,NA,NA,NA,-0.99720844,-0.96075776,-0.97966489,-0.99309964,NA,NA,NA,NA,NA,-0.8100454,-0.98126868,-0.9731255,-0.97207779,-0.97072303,-0.95789462,-0.95972393,-0.97504761,-0.96476793,-0.97300338,-0.97475271,NA,NA,NA,NA,NA,NA,-0.99598933,-0.99751215
7,"Standing",-0.99457493,-0.99673552,-0.99659775,-0.99718465,-0.99728305,-0.99654313,-0.99629299,-0.99665321,-0.97851546,NA,NA,NA,NA,NA,NA,-0.94458048,-0.9941051,-0.99370637,-0.98219853,-0.99316004,NA,NA,NA,NA,NA,NA,-0.98540046,-0.97047198,-0.9699647,-0.99141661,-0.99491714,-0.98163561,-0.99431444,-0.99666571,-0.99501959,-0.9931391,-0.98792251,-0.97369156,-0.9617694,-0.95095197,-0.95507367,-0.86680608,-0.97014709,-0.97464697,-0.97587022,-0.97761742,-0.97709955,NA,-0.84425862,-0.87538186,-0.93773295,-0.96784318,-0.96324951,-0.95950754,-0.99677928,-0.99449167,-0.9793967,-0.99418773,-0.98550962,-0.98645357,-0.9937205,-0.9475075,-0.9708674,-0.99132473,-0.86662233,-0.95316149
7,"Laying",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64537759,-0.97878631,-0.98394984,-0.98153458,-0.98218053,-0.99286228,-0.9911728,-0.98646194,-0.9886806,-0.92396547,-0.8116884,-0.98578198,-0.98950047,-0.99319892,-0.98962047,-0.98459452,-0.986428,-0.99176615,-0.9909516,-0.98944209,-0.9896863,-0.99305143,-0.92833109,-0.99092894,-0.99031206,-0.99522364,-0.99584908,-0.99571155,-0.95700002,NA,NA,NA,NA,-0.93054475,-0.99455664,-0.99465055,-0.9928783,-0.9930652,-0.99387457,-0.99409564,-0.99338433,-0.9941839,-0.99355532,-0.99311967,-0.96060534,NA,NA,NA,NA,-0.977941045,-0.97933903,-0.934259085,-0.94036044,-0.99201402,-0.99226067,NA,NA
8,"Walking",NA,NA,-0.57965423,-0.57541746,-0.48708722,-0.38795023,-0.552944,-0.59023433,-0.57221973,-0.53116942,-0.54358985,-0.56372407,-0.67505321,-0.56408152,-0.574887085,-0.593217725,-0.62857374,-0.592782955,-0.642599745,-0.59774258,-0.58551685,-0.46796778,-0.53513524,-0.62488743,-0.58956856,-0.62416505,-0.55033455,-0.55724805,-0.57710792,-0.59647104,-0.63231329,-0.64170983,-0.48571635,-0.52444076,-0.59344051,-0.60377302,-0.5843947,-0.61909086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65009775,-0.64390541,-0.56749272,-0.60225609,-0.62098419,-0.53877828,NA,NA
8,"Walking Upstairs",-0.54418959,-0.63355681,-0.67516931,-0.68503449,-0.63177357,-0.45985122,-0.45854259,-0.60961644,-0.58865009,-0.51813417,-0.61001936,-0.56057167,NA,NA,NA,NA,NA,NA,NA,NA,-0.61872676,-0.56916688,-0.55361402,-0.69480185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45019511,-0.52591777,-0.53511607,-0.54838869,NA,NA,-0.62622704,-0.68568091,-0.67706157,-0.5964706,-0.54291423,-0.56101909,-0.55949049,-0.62915278,-0.57167855,-0.54940255,-0.55046762,-0.583683345,-0.59878379,-0.59392739,NA,NA,NA,NA,NA,NA,-0.46118898,-0.47582779
8,"Walking Downstairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4445276,-0.41273833,-0.35871807,-0.42094291,-0.37858856,-0.3500238,-0.31435339,-0.23654785,-0.31394732,-0.40507446,-0.22102199,-0.22181082,-0.42556738,-0.45299713,-0.14243901,-0.13153619,-0.235963485,-0.153309818,-0.003442649,-0.16951677,-0.24909881,-0.22083806,-0.3203986,-0.50820352,-0.3311199,-0.19980298,-0.32677,-0.37685317,NA,NA,NA,NA,-0.41889087,-0.11257178,0.16448591,-0.029797075,-0.41241713,-0.20947854,-0.11486439,-0.14445011
8,"Sitting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.93604996,-0.97622066,-0.97771576,-0.96364414,-0.96563673,NA,NA,NA,NA,NA,NA,-0.99701306,-0.99553064,-0.99632,-0.97265864,-0.99491227,-0.99558595,-0.997735125,-0.99800901,-0.99864255,-0.998487535,-0.99826946,-0.98909141,NA,NA,-0.89462457,NA,-0.9614495,-0.98957737,-0.99646974,-0.9969559,-0.99844111,-0.99767331,-0.99658834,-0.99634693,-0.99754248,-0.96943377,-0.95731689,-0.91121954,NA,NA,NA,NA,-0.99738466,-0.98954528,-0.999167065,-0.997308915,-0.99636918,-0.997151255,NA,NA
8,"Standing",-0.90634263,-0.887104705,-0.97866699,-0.990406815,-0.99604119,-0.997550035,-0.99768703,-0.99810278,-0.998065965,-0.99760595,-0.998337035,-0.998338065,-0.993470025,-0.9970046,-0.994156555,-0.98862662,-0.99421077,-0.97580323,-0.98998244,-0.99324899,-0.97536507,-0.998058165,-0.998992995,-0.997624155,-0.99494606,-0.949680155,-0.97754447,-0.98086702,-0.97063125,-0.97007183,-0.9986642,-0.99865128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8149373,NA,NA,-0.98495545,NA,NA,NA,NA,NA,NA,NA
8,"Laying",-0.995107785,-0.996096535,-0.99523075,-0.99432078,-0.77632278,-0.87965219,-0.97158778,-0.98832978,-0.98657645,-0.98562388,-0.99234458,-0.9915921,-0.98941138,-0.99110631,NA,NA,NA,NA,NA,NA,-0.98853899,-0.98978679,-0.99368078,-0.99358717,-0.9943801,-0.99540766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.98823903,-0.920965395,-0.96121351,-0.9603617,-0.91311743,-0.99746617,-0.99858776,-0.99837861,-0.99523441,-0.99571666,-0.99743697,-0.99726048,-0.99817628,-0.99852959,-0.99859905,-0.99907951,-0.99428484,-0.97130408,-0.974400965,-0.95727591,-0.96388782,NA,NA,NA,NA,NA,NA,-0.978734775,-0.898898695
9,"Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68490466,-0.7318766,-0.71121637,-0.66900856,-0.79421138,-0.79823608,-0.70479101,-0.75416277,NA,NA,NA,NA,-0.67604227,-0.65995546,-0.76492166,-0.66891746,-0.68502222,-0.68186649,-0.68958819,-0.645060645,-0.630435465,-0.615972275,-0.61808743,-0.64453992,-0.64357051,-0.64675351,NA,NA,-0.45180786,NA,-0.55418613,-0.49509335,-0.53741985,-0.52909888,-0.60351441,-0.57522408,-0.52210094,-0.52727829,-0.45594224,-0.51452051,-0.63120015,-0.50403595,NA,NA,NA,NA,-0.64445012,-0.591730925,-0.582653605,-0.59810376,-0.607525295,-0.621356655,NA,NA
9,"Walking Upstairs",-0.81493773,-0.84118344,-0.83522657,-0.84290209,-0.8381145,-0.780121655,-0.775665685,-0.68807191,-0.66618227,-0.71442795,-0.77804409,-0.79116387,-0.7819575,-0.804403555,-0.759919715,-0.744614075,-0.77240499,-0.78885106,-0.749367575,-0.78573749,-0.7635486,-0.81675394,-0.75231952,-0.785570185,-0.75696381,-0.762621215,-0.72745501,-0.73578773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85394387,-0.83470712,NA,NA,NA,NA,NA,-0.7953758,-0.8564318,-0.85337315,-0.88242652,-0.87080361,-0.86728415,-0.85206268,NA,-0.83152872,NA,NA,NA,NA,NA,NA,NA,NA,-0.74783783,NA
9,"Walking Downstairs",-0.33918128,-0.2734934,-0.31924612,-0.35161703,-0.46630301,NA,NA,-0.48974682,-0.54389137,-0.57686684,-0.39058111,-0.42189648,NA,NA,NA,NA,NA,NA,NA,NA,-0.53396059,-0.62328819,-0.39982644,NA,NA,NA,NA,NA,-0.31613904,-0.32245329,-0.38959345,-0.48968985,NA,NA,NA,NA,-0.79522435,-0.78614442,-0.595713765,-0.361438405,NA,-0.51635628,-0.69157899,-0.64684501,-0.70244608,-0.70889248,-0.59257273,NA,NA,NA,NA,NA,NA,NA,-0.509936195,-0.41917903,-0.33652267,-0.488279665,-0.20712268,-0.22460458,-0.50341342,NA,NA,NA,-0.47774799,-0.63649517
9,"Sitting",-0.92465106,-0.94293093,-0.96186504,-0.981847,-0.98727389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99943667,-0.99899774,-0.99736845,-0.99619944,-0.99575302,-0.99579368,-0.97068256,-0.97410255,-0.943104265,-0.957209575,-0.97236098,-0.99265344,-0.96858006,-0.990757425,-0.989264155,-0.95928306,-0.970728745,-0.941030305,-0.899217335,-0.88434794,-0.95079425,-0.94403056,-0.97919476,-0.98141252,-0.99309319,-0.98827301,NA,-0.96151622,-0.98128858,-0.985777,-0.99231193,-0.99883517,-0.97261676,-0.9769198
9,"Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.84632554,-0.99228142,-0.98171677,-0.98438402,-0.97904735,-0.95728968,-0.97849578,-0.98557343,-0.91335143,-0.98155183,-0.98883061,-0.98444353,-0.97346189,-0.97147717,-0.98175306,-0.98338082,-0.98541486,-0.980538945,-0.9651033,-0.94452469,-0.953901305,-0.99149756,-0.92872734,-0.93242434,-0.96367355,-0.99566887,-0.99404624,NA,NA,NA,NA,-0.9941809,-0.99675986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.975813965,-0.99059239,-0.84644616,-0.91147151,-0.96914363,-0.97357744,NA,NA
9,"Laying",-0.97203833,-0.9945972,-0.99517963,-0.99307654,-0.9278229,-0.921650185,-0.977971155,-0.984409035,-0.978881245,-0.93376571,-0.902002595,-0.924745785,-0.99204764,-0.98276797,-0.9671135,-0.9686775,-0.86030783,-0.86548862,-0.99025609,-0.99079463,-0.91828131,-0.922848775,-0.98188038,-0.99414007,-0.98743798,-0.99330064,-0.98998173,-0.99476177,-0.91758769,-0.91527774,-0.91292243,NA,NA,NA,NA,NA,NA,NA,-0.89107109,-0.94565378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99227409,-0.97137374,-0.94806046,-0.99123317,NA,NA,NA,NA,NA,NA,-0.90071535,-0.88155098
10,"Walking",-0.495608755,-0.49530565,-0.49683048,-0.491841465,-0.494370325,-0.54885407,-0.5619653,-0.556775175,-0.62291874,-0.64406686,-0.56249783,-0.54949162,-0.53811724,-0.59171313,-0.59471606,-0.50223929,NA,NA,NA,NA,-0.57906948,-0.55425242,-0.52269748,-0.46363861,-0.51864495,-0.59836234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4875307,-0.59039213,-0.41472499,-0.45797956,NA,NA,NA,-0.43940569,-0.43039114,-0.54266215,-0.45954843,-0.41721832,-0.47427274,-0.38753154,-0.32616834,-0.37381884,-0.5027672,-0.535730565,-0.629870225,-0.53577854,NA,NA,NA,NA,NA,NA,-0.57762172,-0.52372951
10,"Walking Upstairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65389302,-0.58209881,-0.56239348,-0.68155743,-0.64167524,-0.76055314,-0.76783616,-0.75610164,-0.717637965,-0.74027086,-0.637905445,-0.63543638,-0.65925966,-0.65990808,-0.70596114,-0.622192205,-0.722509955,-0.74006068,-0.688514455,-0.72790712,-0.751651,-0.73671196,-0.44875937,-0.42580487,-0.6084391,-0.59511291,-0.62629792,-0.70358063,NA,-0.59644953,-0.62426719,-0.60234534,-0.6899412,-0.69408881,-0.64914002,-0.67771224,-0.68286829,-0.757725,-0.66743849
10,"Walking Downstairs",NA,NA,NA,NA,NA,NA,NA,NA,-0.5612758,-0.4896207,-0.48125112,-0.47929298,-0.54921986,-0.54221894,-0.39058305,-0.45635059,-0.533565015,-0.536160615,-0.527794415,-0.4989593,-0.5442307,-0.6201215,-0.4678845,-0.45993669,-0.35346312,-0.37779489,-0.565315205,-0.62269551,-0.56278839,-0.60301386,-0.53333596,-0.58366968,-0.57694106,-0.6776285,-0.65707592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65126803,-0.64288248,-0.61066111,-0.61393609,-0.64583017,-0.63100343,NA,NA
10,"Sitting",-0.99831285,-0.99916308,-0.99888934,-0.99874958,-0.93280859,-0.971963055,-0.99823796,-0.998554705,-0.998860255,-0.99883446,-0.99878238,-0.998885045,-0.995794,-0.99590036,-0.99658252,-0.99684144,-0.99012501,-0.98941032,-0.95079171,-0.99206757,-0.998755165,-0.99904329,-0.99767662,-0.996353175,-0.99880721,-0.99684263,-0.99051237,-0.94698158,-0.94614227,-0.95212004,-0.99616554,-0.9951997,NA,NA,NA,NA,NA,NA,-0.9947347,-0.99927599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99837976,-0.99781507,-0.99940032,-0.99925945,-0.99909567,-0.99664294,-0.99658316,NA,NA,NA,-0.99062085,-0.99418361
10,"Standing",-0.99100339,-0.99490004,-0.9961817,-0.9973005,-0.99682481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.95887356,-0.96282764,-0.95967407,-0.98563135,-0.98569034,-0.98602159,-0.98486823,-0.93039289,-0.94785862,-0.929024615,-0.99105336,-0.9839183,-0.98450207,-0.9160511,-0.98988571,-0.98574581,-0.918539415,-0.923983355,-0.992897265,-0.99200018,-0.98883649,-0.945327025,-0.96280173,-0.98962107,-0.97502302,-0.96383556,NA,NA,NA,-0.9228197,-0.91309475,-0.92736706,-0.96494515,-0.98466745
10,"Laying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.97556485,-0.97845,-0.98851462,-0.99079371,-0.98496816,-0.98648313,-0.99205459,-0.98989029,NA,NA,NA,NA,-0.73495659,-0.96031886,-0.99171628,-0.98767261,-0.98804736,-0.99017431,-0.98744209,-0.78425749,-0.959625575,-0.96628194,-0.968535345,-0.97273242,-0.97328577,-0.984073755,-0.97971157,-0.97298194,-0.97451515,-0.97560982,-0.98485762,-0.932986825,-0.933584615,-0.96699708,-0.9660081,-0.97558431,-0.95629505,-0.95422807,-0.97830977,-0.97763272,-0.96806206,-0.96681055,NA,NA,NA,NA,-0.88035927,-0.96284448,-0.9591183,-0.900239085,-0.983562285,-0.966166865,-0.97285221,-0.97373719
11,"Walking",-0.7198916,-0.73719818,-0.78190805,-0.73952512,-0.73143702,-0.73771632,-0.75132912,-0.78419458,-0.74096075,-0.7155061,-0.75368622,-0.75141704,NA,NA,NA,NA,NA,NA,NA,NA,-0.74056784,-0.7809036,-0.78680949,-0.77766736,NA,NA,NA,-0.75898716,-0.73913726,-0.79294027,-0.77505032,-0.76569555,-0.80745533,-0.80167846,-0.80169044,-0.80708587,-0.80116092,-0.78390839,-0.753579,-0.77286773,-0.72344594,-0.75839233,-0.78769414,-0.74188763,-0.78491578,-0.80405273,-0.81263409,-0.82028973,-0.80017298,-0.80643279,-0.79656682,-0.79765362,-0.76727706,-0.74454209,-0.77238371,-0.73394526,-0.76766294,-0.75895622,-0.8097215,-0.80795737,-0.80293596,-0.82045981,-0.79987248,-0.81512057,-0.7562182,-0.75168339
11,"Walking Upstairs",-0.81212681,-0.81041925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85710966,-0.83133082,-0.86597164,-0.8758234,-0.84621726,-0.83863257,-0.87156218,-0.86883421,-0.83872894,-0.84177431,-0.83608805,-0.85951856,-0.81369343,-0.81023475,-0.82830129,-0.8198721,-0.82302096,-0.79125184,-0.79191479,-0.85564254,NA,NA,-0.83645806,-0.81665889,-0.82304308,-0.82968753,-0.82037838,-0.8543,-0.83001144,-0.8370771,-0.81993877,-0.82239336,-0.82148339,-0.80197785,-0.83032698,-0.79378565,-0.80795153,-0.82342422,-0.83293122,-0.81492713,-0.79621277,-0.78727153,-0.80139253,-0.83973968,-0.86961413,-0.82943236,-0.68697006,-0.66684422,-0.83954573,-0.84446488,-0.80195727,-0.78575958,-0.83203428,-0.82508786
